AH-CM-1-RTMP-VIP   112.29.207.7
AH-CT-1-RTMP-VIP   61.191.127.7
BD-UNI-1-RTMP-VIP  121.18.212.131
CD-CM-1-RTMP-VIP   117.174.145.7
CD-CT-2-RTMP-VIP   182.140.232.7
CQ-CT-1-RTMP-VIP   61.128.147.7
DL-UNI-1-RTMP-VIP  218.60.111.7
FJ-CT-1-RTMP-VIP   220.161.185.7
GZ-UNI-2-RTMP-VIP  221.5.73.135
HAZ-CM-1-RTMP-VIP  117.148.129.135
HB-CM-1-RTMP-VIP   111.62.241.135
HB-CT-2-RTMP-VIP   124.239.250.7
HEB-UNI-1-RTMP-VIP 61.167.56.7
HZ-CT-1-RTMP-VIP   61.174.55.7
JN-CM-1-RTMP-VIP   223.99.237.7
JN-UNI-1-RTMP-VIP  119.188.142.7
LN-CT-1-RTMP-VIP   59.44.31.7
NC-CT-1-RTMP-VIP   59.63.167.7
NJ-CM-1-RTMP-VIP   112.25.38.7
NN-CT-1-RTMP-VIP   218.65.176.7
NT-CM-1-RTMP-VIP   223.111.155.7
QD-CT-1-RTMP-VIP   150.138.120.7
SH-CT-1-RTMP-VIP   114.80.62.7
TJ-CM-1-RTMP-VIP   117.131.205.7
TY-UNI-1-RTMP-VIP  221.204.13.135
WH-CM-1-RTMP-VIP   111.47.246.7
XA-CM-1-RTMP-VIP   111.20.253.135
XA-CT-1-RTMP-VIP   117.34.35.7
XA-UNI-1-RTMP-VIP  123.138.156.xx
XJ-CT-1-RTMP-VIP   110.157.229.7
YZ-CT-1-RTMP-VIP   218.77.86.7
ZZ-CM-1-RTMP-VIP   111.6.187.135
ZZ-CT-1-RTMP-VIP   1.194.226.7
ZZ-UNI-2-RTMP-VIP  123.6.1.135
