AH-CM-1-RTMP-52   112.29.207.52
AH-CM-1-RTMP-53   112.29.207.53
AH-CM-1-RTMP-54   112.29.207.54
AH-CT-1-RTMP-51   61.191.127.51
AH-CT-1-RTMP-52   61.191.127.52
BD-UNI-1-RTMP-147 121.18.212.147
BD-UNI-1-RTMP-148 121.18.212.148
CD-CM-1-RTMP-51   117.174.145.51
CD-CM-1-RTMP-52   117.174.145.52
CD-CT-2-RTMP-51   182.140.232.51
CD-CT-2-RTMP-52   182.140.232.52
CQ-CT-1-RTMP-51   61.128.147.51
CQ-CT-1-RTMP-52   61.128.147.52
CQ-CT-1-RTMP-53   61.128.147.53
CQ-CT-1-RTMP-54   61.128.147.54
DL-UNI-1-RTMP-56  218.60.111.56
DL-UNI-1-RTMP-57  218.60.111.57
FJ-CT-1-RTMP-51   220.161.185.51
FJ-CT-1-RTMP-52   220.161.185.52
GZ-UNI-2-RTMP-179 221.5.73.179
GZ-UNI-2-RTMP-180 221.5.73.180
HAZ-CM-1-RTMP-179 117.148.129.179
HAZ-CM-1-RTMP-180 117.148.129.180
HB-CM-1-RTMP-176  111.62.241.176
HB-CM-1-RTMP-177  111.62.241.177
HB-CM-1-RTMP-178  111.62.241.178
HB-CT-2-RTMP-51   124.239.250.51
HB-CT-2-RTMP-52   124.239.250.52
HB-CT-2-RTMP-53   124.239.250.53
HB-CT-2-RTMP-54   124.239.250.54
HEB-UNI-1-RTMP-51 61.167.56.51
HEB-UNI-1-RTMP-52 61.167.56.52
HEB-UNI-1-RTMP-53 61.167.56.53
HZ-CT-1-RTMP-56   61.174.55.56
HZ-CT-1-RTMP-57   61.174.55.57
JN-CM-1-RTMP-56   223.99.237.56
JN-CM-1-RTMP-57   223.99.237.57
JN-UNI-1-RTMP-56  119.188.142.56
JN-UNI-1-RTMP-57  119.188.142.57
LN-CT-1-RTMP-51   59.44.31.51
LN-CT-1-RTMP-52   59.44.31.52
LN-CT-1-RTMP-53   59.44.31.53
LN-CT-1-RTMP-54   59.44.31.54
NC-CT-1-RTMP-51   59.63.167.51
NC-CT-1-RTMP-52   59.63.167.52
NC-CT-1-RTMP-53   59.63.167.53
NC-CT-1-RTMP-54   59.63.167.54
NJ-CM-1-RTMP-53   112.25.38.53
NJ-CM-1-RTMP-54   112.25.38.54
NN-CT-1-RTMP-51   218.65.176.51
NN-CT-1-RTMP-52   218.65.176.52
NT-CM-1-RTMP-51   223.111.155.51
NT-CM-1-RTMP-52   223.111.155.52
QD-CT-1-RTMP-51   150.138.120.51
QD-CT-1-RTMP-52   150.138.120.52
SH-CT-1-RTMP-56   114.80.62.56
SH-CT-1-RTMP-57   114.80.62.57
TJ-CM-1-RTMP-56   117.131.205.56
TJ-CM-1-RTMP-57   117.131.205.57
TY-UNI-1-RTMP-184 221.204.13.184
TY-UNI-1-RTMP-185 221.204.13.185
WH-CM-1-RTMP-56   111.47.246.56
WH-CM-1-RTMP-57   111.47.246.57
WH-CT-1-RTMP-56   116.211.94.56
WH-CT-1-RTMP-57   116.211.94.57
XA-CM-1-RTMP-179  111.20.253.179
XA-CM-1-RTMP-180  111.20.253.180
XA-CT-1-RTMP-56   117.34.35.56
XA-CT-1-RTMP-57   117.34.35.57
XA-UNI-1-RTMP-56  123.138.156.56
XA-UNI-1-RTMP-57  123.138.156.57
XJ-CT-1-RTMP-51   110.157.229.51
XJ-CT-1-RTMP-52   110.157.229.52
XJ-CT-1-RTMP-53   110.157.229.53
XJ-CT-1-RTMP-54   110.157.229.54
YZ-CT-1-RTMP-51   218.77.86.51
YZ-CT-1-RTMP-52   218.77.86.52
YZ-CT-1-RTMP-53   218.77.86.53
YZ-CT-1-RTMP-54   218.77.86.54
ZZ-CM-1-RTMP-179  111.6.187.179
ZZ-CM-1-RTMP-180  111.6.187.180
ZZ-CT-1-RTMP-51   1.194.226.51
ZZ-CT-1-RTMP-52   1.194.226.52
ZZ-CT-1-RTMP-53   1.194.226.53
ZZ-CT-1-RTMP-54   1.194.226.54
ZZ-UNI-2-RTMP-179 123.6.1.179
ZZ-UNI-2-RTMP-180 123.6.1.180
ZZ-UNI-2-RTMP-181 123.6.1.181
