AH-CM-1-RTMP-53   112.29.207.53
AH-CT-1-RTMP-52   61.191.127.52
BD-UNI-1-RTMP-148 121.18.212.148
CD-CM-1-RTMP-52   117.174.145.52
CD-CT-2-RTMP-52   182.140.232.52
CQ-CT-1-RTMP-52   61.128.147.52
DL-UNI-1-RTMP-57  218.60.111.57
FJ-CT-1-RTMP-52   220.161.185.52
GZ-UNI-2-RTMP-180 221.5.73.180
HAZ-CM-1-RTMP-180 117.148.129.180
HB-CM-1-RTMP-178  111.62.241.178
HB-CT-2-RTMP-54   124.239.250.54
HEB-UNI-1-RTMP-53 61.167.56.53
HZ-CT-1-RTMP-57   61.174.55.57
JN-CM-1-RTMP-57   223.99.237.57
JN-UNI-1-RTMP-57  119.188.142.57
LN-CT-1-RTMP-54   59.44.31.54
NC-CT-1-RTMP-54   59.63.167.54
NJ-CM-1-RTMP-54   112.25.38.54
NN-CT-1-RTMP-52   218.65.176.52
NT-CM-1-RTMP-52   223.111.155.52
QD-CT-1-RTMP-52   150.138.120.52
SH-CT-1-RTMP-57   114.80.62.57
TJ-CM-1-RTMP-57   117.131.205.57
TY-UNI-1-RTMP-185 221.204.13.185
WH-CM-1-RTMP-57   111.47.246.57
WH-CT-1-RTMP-57   116.211.94.57
XA-CM-1-RTMP-180  111.20.253.180
XA-CT-1-RTMP-57   117.34.35.57
XA-UNI-1-RTMP-57  123.138.156.57
XJ-CT-1-RTMP-54   110.157.229.54
YZ-CT-1-RTMP-54   218.77.86.54
ZZ-CM-1-RTMP-180  111.6.187.180
ZZ-CT-1-RTMP-54   1.194.226.54
ZZ-UNI-2-RTMP-181 123.6.1.181
